round,HH_,HH__mean,HH__std
0,2.0,1.0,0.0
1,4.0,2.0,0.0
2,6.0,3.0,0.0
3,8.0,4.0,0.0
4,10.0,5.0,0.0
5,12.0,6.0,0.0
6,14.0,7.0,0.0
7,16.0,8.0,0.0
8,18.0,9.0,0.0
9,20.0,10.0,0.0
10,22.0,11.0,0.0
11,24.0,12.0,0.0
12,26.0,13.0,0.0
13,28.0,14.0,0.0
14,30.0,15.0,0.0
15,32.0,16.0,0.0
16,34.0,17.0,0.0
17,36.0,18.0,0.0
18,38.0,19.0,0.0
19,40.0,20.0,0.0
20,42.0,21.0,0.0
21,44.0,22.0,0.0
22,46.0,23.0,0.0
23,48.0,24.0,0.0
24,50.0,25.0,0.0
25,52.0,26.0,0.0
26,54.0,27.0,0.0
27,56.0,28.0,0.0
28,58.0,29.0,0.0
29,60.0,30.0,0.0
30,62.0,31.0,0.0
31,64.0,32.0,0.0
32,66.0,33.0,0.0
33,68.0,34.0,0.0
34,70.0,35.0,0.0
35,72.0,36.0,0.0
36,74.0,37.0,0.0
37,76.0,38.0,0.0
38,78.0,39.0,0.0
39,80.0,40.0,0.0
