index,round,id,consumption_good,intermediate_good
0,0,1,2.0,0.0
1,0,0,0.0,1.0
2,1,1,2.0,0.0
3,1,0,0.0,1.0
4,2,1,2.0,0.0
5,2,0,0.0,1.0
6,3,0,0.0,1.0
7,3,1,2.0,0.0
8,4,0,0.0,1.0
9,4,1,2.0,0.0
10,5,0,0.0,1.0
11,5,1,2.0,0.0
12,6,1,2.0,0.0
13,6,0,0.0,1.0
14,7,1,2.0,0.0
15,7,0,0.0,1.0
16,8,0,0.0,1.0
17,8,1,2.0,0.0
18,9,0,0.0,1.0
19,9,1,2.0,0.0
20,10,0,0.0,1.0
21,10,1,2.0,0.0
22,11,0,0.0,1.0
23,11,1,2.0,0.0
24,12,0,0.0,1.0
25,12,1,2.0,0.0
26,13,0,0.0,1.0
27,13,1,2.0,0.0
28,14,0,0.0,1.0
29,14,1,2.0,0.0
30,15,1,2.0,0.0
31,15,0,0.0,1.0
32,16,0,0.0,1.0
33,16,1,2.0,0.0
34,17,0,0.0,1.0
35,17,1,2.0,0.0
36,18,1,2.0,0.0
37,18,0,0.0,1.0
38,19,1,2.0,0.0
39,19,0,0.0,1.0
40,20,0,0.0,1.0
41,20,1,2.0,0.0
42,21,0,0.0,1.0
43,21,1,2.0,0.0
44,22,0,0.0,1.0
45,22,1,2.0,0.0
46,23,1,2.0,0.0
47,23,0,0.0,1.0
48,24,0,0.0,1.0
49,24,1,2.0,0.0
50,25,0,0.0,1.0
51,25,1,2.0,0.0
52,26,0,0.0,1.0
53,26,1,2.0,0.0
54,27,0,0.0,1.0
55,27,1,2.0,0.0
56,28,1,2.0,0.0
57,28,0,0.0,1.0
58,29,0,0.0,1.0
59,29,1,2.0,0.0
60,30,0,0.0,1.0
61,30,1,2.0,0.0
62,31,0,0.0,1.0
63,31,1,2.0,0.0
64,32,0,0.0,1.0
65,32,1,2.0,0.0
66,33,1,2.0,0.0
67,33,0,0.0,1.0
68,34,1,2.0,0.0
69,34,0,0.0,1.0
70,35,1,2.0,0.0
71,35,0,0.0,1.0
72,36,0,0.0,1.0
73,36,1,2.0,0.0
74,37,1,2.0,0.0
75,37,0,0.0,1.0
76,38,0,0.0,1.0
77,38,1,2.0,0.0
78,39,1,2.0,0.0
79,39,0,0.0,1.0
