round,consumption_good,intermediate_good,consumption_good_mean,intermediate_good_mean,consumption_good_std,intermediate_good_std
0,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
1,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
2,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
3,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
4,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
5,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
6,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
7,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
8,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
9,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
10,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
11,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
12,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
13,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
14,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
15,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
16,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
17,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
18,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
19,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
20,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
21,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
22,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
23,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
24,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
25,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
26,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
27,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
28,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
29,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
30,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
31,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
32,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
33,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
34,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
35,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
36,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
37,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
38,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
39,2.0,1.0,1.0,0.5,1.4142135623730951,0.7071067811865476
